name,html_url,description,language,stars,forks,created_at,updated_at
build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,Master programming by recreating your favorite technologies from scratch.,Markdown,449684,42164,2018-05-09T12:03:18Z,2025-12-17T16:47:45Z
freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free.",TypeScript,434899,42840,2014-12-24T17:49:19Z,2025-12-17T16:50:32Z
awesome,https://github.com/sindresorhus/awesome,😎 Awesome lists about all kinds of interesting topics,,423046,32601,2014-07-11T13:42:37Z,2025-12-17T16:41:04Z
public-apis,https://github.com/public-apis/public-apis,A collective list of free APIs,Python,385854,41189,2016-03-20T23:49:42Z,2025-12-17T16:52:22Z
free-programming-books,https://github.com/EbookFoundation/free-programming-books,:books: Freely available programming books,Python,378950,65632,2013-10-11T06:50:37Z,2025-12-17T16:53:37Z
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",TypeScript,345570,43514,2017-03-15T13:45:52Z,2025-12-17T16:21:22Z
coding-interview-university,https://github.com/jwasham/coding-interview-university,A complete computer science study plan to become a software engineer.,,334791,81454,2016-06-06T02:34:12Z,2025-12-17T16:53:55Z
system-design-primer,https://github.com/donnemartin/system-design-primer,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,Python,329583,53658,2017-02-26T16:15:28Z,2025-12-17T16:44:11Z
996.ICU,https://github.com/996icu/996.ICU,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,,275037,20998,2019-03-26T07:31:14Z,2025-12-17T09:34:26Z
awesome-python,https://github.com/vinta/awesome-python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",Python,274172,26912,2014-06-27T21:00:06Z,2025-12-17T16:49:26Z
awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,A list of Free Software network services and web applications which can be hosted on your own servers,,263417,12110,2015-06-01T02:33:17Z,2025-12-17T16:49:26Z
project-based-learning,https://github.com/practical-tutorials/project-based-learning,Curated list of project-based tutorials,,252780,33040,2017-04-12T05:07:46Z,2025-12-17T16:19:21Z
react,https://github.com/facebook/react,The library for web and native user interfaces.,JavaScript,241678,50177,2013-05-24T16:15:54Z,2025-12-17T16:24:28Z
Python,https://github.com/TheAlgorithms/Python,All Algorithms implemented in Python,Python,214871,49629,2016-07-16T09:44:01Z,2025-12-17T16:48:32Z
linux,https://github.com/torvalds/linux,Linux kernel source tree,C,211003,59387,2011-09-04T22:48:12Z,2025-12-17T16:46:02Z
vue,https://github.com/vuejs/vue,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",TypeScript,209757,33887,2013-07-29T03:24:51Z,2025-12-17T14:34:28Z
computer-science,https://github.com/ossu/computer-science,🎓 Path to a free self-taught education in Computer Science!,HTML,199179,24776,2014-05-04T00:18:39Z,2025-12-17T16:39:21Z
the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more.",,198291,12091,2018-06-23T10:43:14Z,2025-12-17T16:49:28Z
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,JavaScript,195133,31084,2018-03-24T07:47:04Z,2025-12-17T16:15:48Z
tensorflow,https://github.com/tensorflow/tensorflow,An Open Source Machine Learning Framework for Everyone,C++,192844,75120,2015-11-07T01:19:20Z,2025-12-17T16:45:50Z
You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,A book series (2 published editions) on the JS language.,,184091,33681,2013-11-16T02:37:24Z,2025-12-17T16:33:51Z
ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,"🙃   A delightful community-driven (with 2,400+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool that makes it easy to keep up with the latest updates from the community.",Shell,183380,26301,2009-08-28T18:15:37Z,2025-12-17T16:34:07Z
CS-Notes,https://github.com/CyC2018/CS-Notes,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计,,183160,51253,2018-02-13T14:56:24Z,2025-12-17T15:50:52Z
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",Python,180348,46186,2023-03-16T09:21:07Z,2025-12-17T14:13:02Z
vscode,https://github.com/microsoft/vscode,Visual Studio Code,TypeScript,179730,36942,2015-09-03T20:23:38Z,2025-12-17T16:23:42Z
Python-100-Days,https://github.com/jackfrued/Python-100-Days,Python - 100天从新手到大师,Jupyter Notebook,176510,55151,2018-03-01T16:05:52Z,2025-12-17T16:06:15Z
flutter,https://github.com/flutter/flutter,Flutter makes it easy and fast to build beautiful apps for mobile and beyond,Dart,174299,29698,2015-03-06T22:54:58Z,2025-12-17T16:45:35Z
bootstrap,https://github.com/twbs/bootstrap,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",MDX,173814,79167,2011-07-29T21:19:00Z,2025-12-17T15:59:20Z
gitignore,https://github.com/github/gitignore,A collection of useful .gitignore templates,,171314,82974,2010-11-08T20:17:14Z,2025-12-17T16:35:23Z
n8n,https://github.com/n8n-io/n8n,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",TypeScript,163314,52179,2019-06-22T09:24:21Z,2025-12-17T16:49:43Z
awesome-go,https://github.com/avelino/awesome-go,"A curated list of awesome Go frameworks, libraries and software",Go,160191,12826,2014-07-06T13:42:15Z,2025-12-17T16:49:30Z
Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,"Open-source Windows and Office activator featuring HWID, Ohook, TSforge, and Online KMS activation methods, along with advanced troubleshooting.",Batchfile,159679,15389,2020-01-12T23:03:34Z,2025-12-17T16:42:22Z
the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,"Master the command line, in one page",,159181,14769,2015-05-20T15:11:03Z,2025-12-17T11:38:50Z
stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,Stable Diffusion web UI,Python,159036,29534,2022-08-22T14:05:26Z,2025-12-17T16:01:15Z
ollama,https://github.com/ollama/ollama,"Get up and running with OpenAI gpt-oss, DeepSeek-R1, Gemma 3 and other models.",Go,157801,13940,2023-06-26T19:39:32Z,2025-12-17T16:52:08Z
transformers,https://github.com/huggingface/transformers,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ",Python,153977,31467,2018-10-29T13:56:00Z,2025-12-17T16:30:58Z
JavaGuide,https://github.com/Snailclimb/JavaGuide,"Java 学习&面试指南（Go、Python 后端面试通用,计算机基础面试总结）。准备后端技术面试，首选 JavaGuide！",Java,153086,46092,2018-05-07T13:27:00Z,2025-12-17T15:35:07Z
javascript,https://github.com/airbnb/javascript,JavaScript Style Guide,JavaScript,147995,26790,2012-11-01T23:13:50Z,2025-12-17T14:54:50Z
langflow,https://github.com/langflow-ai/langflow,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.,Python,141370,8181,2023-02-08T22:28:03Z,2025-12-17T16:53:37Z
awesome-chatgpt-prompts,https://github.com/f/awesome-chatgpt-prompts,"Share, discover, and collect prompts from the community. Free and open source — self-host for your organization with complete privacy.",TypeScript,139599,18510,2022-12-05T13:54:13Z,2025-12-17T16:47:13Z
