name,html_url,description,language,stars,forks,created_at,updated_at
public-apis,https://github.com/public-apis/public-apis,A collective list of free APIs,Python,385647,41171,2016-03-20T23:49:42Z,2025-12-17T11:19:12Z
free-programming-books,https://github.com/EbookFoundation/free-programming-books,:books: Freely available programming books,Python,378944,65631,2013-10-11T06:50:37Z,2025-12-17T10:25:52Z
system-design-primer,https://github.com/donnemartin/system-design-primer,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,Python,329561,53653,2017-02-26T16:15:28Z,2025-12-17T11:18:08Z
awesome-python,https://github.com/vinta/awesome-python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",Python,274149,26909,2014-06-27T21:00:06Z,2025-12-17T11:17:11Z
Python,https://github.com/TheAlgorithms/Python,All Algorithms implemented in Python,Python,214865,49627,2016-07-16T09:44:01Z,2025-12-17T11:18:45Z
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",Python,180348,46184,2023-03-16T09:21:07Z,2025-12-17T11:07:34Z
stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,Stable Diffusion web UI,Python,159034,29529,2022-08-22T14:05:26Z,2025-12-17T11:12:54Z
transformers,https://github.com/huggingface/transformers,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ",Python,153966,31464,2018-10-29T13:56:00Z,2025-12-17T11:12:44Z
langflow,https://github.com/langflow-ai/langflow,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.,Python,141346,8178,2023-02-08T22:28:03Z,2025-12-17T11:09:45Z
youtube-dl,https://github.com/ytdl-org/youtube-dl,Command-line program to download videos from YouTube.com and other video sites,Python,139185,10571,2010-10-31T14:35:07Z,2025-12-17T09:55:59Z
