name,html_url,description,language,stars,forks,created_at,updated_at
ggplot2,https://github.com/tidyverse/ggplot2,An implementation of the Grammar of Graphics in R,R,6835,2114,2008-05-25T01:21:32Z,2025-12-17T07:32:35Z
awesome-R,https://github.com/qinwf/awesome-R,"A curated list of awesome R packages, frameworks and software.",R,6366,1515,2014-07-19T06:02:47Z,2025-12-17T14:55:37Z
shiny,https://github.com/rstudio/shiny,Easy interactive web applications with R,R,5574,1878,2012-06-20T18:45:11Z,2025-12-16T23:51:28Z
dplyr,https://github.com/tidyverse/dplyr,dplyr: A grammar of data manipulation,R,4975,2133,2012-10-28T13:39:17Z,2025-12-16T13:28:28Z
r4ds,https://github.com/hadley/r4ds,R for data science: a book,R,4949,4383,2015-07-27T21:52:44Z,2025-12-17T07:44:33Z
swirl_courses,https://github.com/swirldev/swirl_courses,:mortar_board: A collection of interactive courses for the swirl R package.,R,4508,7239,2014-02-23T04:48:04Z,2025-12-13T18:30:57Z
stat_rethinking_2022,https://github.com/rmcelreath/stat_rethinking_2022,Statistical Rethinking course winter 2022,R,4102,439,2021-10-08T12:24:05Z,2025-12-16T09:04:18Z
awesome-network-analysis,https://github.com/briatte/awesome-network-analysis,A curated list of awesome network analysis resources.,R,3915,629,2016-04-10T20:31:19Z,2025-12-17T15:47:28Z
data.table,https://github.com/Rdatatable/data.table,R's data.table package extends data.frame:,R,3810,1019,2014-06-07T16:38:05Z,2025-12-17T12:42:31Z
ML_for_Hackers,https://github.com/johnmyleswhite/ML_for_Hackers,"Code accompanying the book ""Machine Learning for Hackers""",R,3769,2205,2012-02-10T03:00:23Z,2025-12-15T14:28:16Z
AnomalyDetection,https://github.com/twitter/AnomalyDetection,Anomaly Detection with R,R,3613,770,2014-12-09T17:46:24Z,2025-12-10T18:49:48Z
rmarkdown,https://github.com/rstudio/rmarkdown,Dynamic Documents for R,R,3002,996,2014-01-22T17:25:19Z,2025-12-13T02:12:20Z
plotly.R,https://github.com/plotly/plotly.R,An interactive graphing library for R,R,2657,636,2013-11-21T05:56:51Z,2025-12-14T12:20:31Z
seurat,https://github.com/satijalab/seurat,R toolkit for single cell genomics,R,2590,976,2015-05-20T05:23:02Z,2025-12-16T18:07:27Z
patchwork,https://github.com/thomasp85/patchwork,The Composer of ggplots,R,2578,166,2017-11-28T20:55:08Z,2025-12-16T00:15:42Z
devtools,https://github.com/r-lib/devtools,Tools to make an R developer's life easier,R,2483,765,2010-05-03T04:08:49Z,2025-12-10T02:15:57Z
knitr,https://github.com/yihui/knitr,A general-purpose tool for dynamic report generation in R,R,2438,880,2011-10-17T20:09:04Z,2025-12-12T01:43:18Z
stat_rethinking_2023,https://github.com/rmcelreath/stat_rethinking_2023,Statistical Rethinking Course for Jan-Mar 2023,R,2356,264,2022-11-30T09:01:17Z,2025-12-16T10:46:21Z
rethinking,https://github.com/rmcelreath/rethinking,Statistical Rethinking course and book package,R,2317,614,2013-03-07T20:18:09Z,2025-12-10T21:44:17Z
ggstatsplot,https://github.com/IndrajeetPatil/ggstatsplot,Enhancing {ggplot2} plots with statistical analysis 📊📣,R,2146,204,2018-01-08T19:16:42Z,2025-12-16T22:27:38Z
rayshader,https://github.com/tylermorganwall/rayshader,R Package for 2D and 3D mapping and data visualization,R,2134,216,2018-05-13T13:51:00Z,2025-12-15T12:31:46Z
