Name,Description,URL,Created At,Updated At,Homepage,Size,Stars,Forks,Issues,Watchers,Language,License,Topics,Has Issues,Has Projects,Has Downloads,Has Wiki,Has Pages,Has Discussions,Is Fork,Is Archived,Is Template,Default Branch
halo,强大易用的开源建站工具。,https://github.com/halo-dev/halo,2018-03-21T12:56:52Z,2025-12-17T15:07:49Z,https://www.halo.run,81579,37446,10148,318,37446,Java,GPL-3.0,"['blog', 'blog-engine', 'cms', 'content-management-system', 'halo', 'halocms', 'website-builder']",True,True,True,False,False,True,False,False,False,main
tutorials,Getting Started with Spring Boot 3: ,https://github.com/eugenp/tutorials,2013-04-29T18:26:36Z,2025-12-17T17:33:16Z,https://bit.ly/github-ls,117863,37313,53969,37,37313,Java,MIT,[],True,True,True,True,False,False,False,False,False,master
arthas,Alibaba Java Diagnostic Tool Arthas/Alibaba Java诊断利器Arthas,https://github.com/alibaba/arthas,2018-08-29T17:15:57Z,2025-12-17T15:39:47Z,https://arthas.aliyun.com/,61894,36943,7619,463,36943,Java,Apache-2.0,"['agent', 'alibaba', 'arthas', 'classloader', 'diagnosis', 'java', 'jvm', 'trace', 'trouble-shooting']",True,True,True,True,True,True,False,False,False,master
NewPipe,A libre lightweight streaming front-end for Android.,https://github.com/TeamNewPipe/NewPipe,2015-09-03T23:39:26Z,2025-12-17T18:12:55Z,https://newpipe.net,82754,35936,3342,1346,35936,Java,GPL-3.0,"['4k', 'android', 'bandcamp', 'download-videos', 'newpipe', 'peertube', 'soundcloud', 'translation', 'video', 'watch', 'youtube-video']",True,True,True,True,False,True,False,False,False,dev
hello-algorithm,🌍 针对小白的算法训练 | 包括四部分：①.大厂面经 ②.力扣图解  ③.千本开源电子书 ④.百张技术思维导图（项目花了上百小时，希望可以点 star 支持，🌹感谢~）推荐免费ChatGPT使用网站,https://github.com/geekxh/hello-algorithm,2020-05-29T05:47:09Z,2025-12-17T12:43:25Z,https://www.lintcode.com/chat-gpt?utm_source=tf-github-xhGPT,365053,35936,6461,11,35936,Java,,"['algorithms', 'dynamic-programming', 'interview-questions', 'leetcode', 'leetcode-solutions']",True,True,True,True,False,False,False,False,False,master
lottie-android,"Render After Effects animations natively on Android and iOS, Web, and React Native",https://github.com/airbnb/lottie-android,2016-10-06T22:42:42Z,2025-12-17T13:42:19Z,http://airbnb.io/lottie/,137395,35540,5440,47,35540,Java,Apache-2.0,"['after-effects', 'airbnb', 'android', 'animation', 'lottie']",True,False,True,False,False,False,False,False,False,master
leetcode,🔥LeetCode solutions in any programming language | 多种编程语言实现 LeetCode、《剑指 Offer（第 2 版）》、《程序员面试金典（第 6 版）》题解,https://github.com/doocs/leetcode,2018-09-16T14:03:03Z,2025-12-17T18:49:35Z,https://leetcode.doocs.org,714610,35292,9158,0,35292,Java,CC-BY-SA-4.0,"['algorithms', 'cpp', 'csharp', 'golang', 'java', 'javascript', 'leetcode', 'python3']",True,False,True,False,True,True,False,False,False,main
glide,An image loading and caching library for Android focused on smooth scrolling,https://github.com/bumptech/glide,2013-07-08T22:52:33Z,2025-12-17T14:11:48Z,https://bumptech.github.io/glide/,97831,34989,6181,620,34989,Java,,"['android', 'disk-cache', 'gif', 'glide', 'imageloader']",True,True,True,True,True,False,False,False,False,master
netty,Netty project - an event-driven asynchronous network application framework,https://github.com/netty/netty,2010-11-09T09:22:21Z,2025-12-17T13:59:47Z,http://netty.io,107625,34649,16257,618,34649,Java,Apache-2.0,[],True,True,True,True,False,True,False,False,False,4.2
ruoyi-vue-pro,🔥 官方推荐 🔥 RuoYi-Vue 全新 Pro 版本，优化重构所有功能。基于 Spring Boot + MyBatis Plus + Vue & Element 实现的后台管理系统 + 微信小程序，支持 RBAC 动态权限、数据权限、SaaS 多租户、Flowable 工作流、三方登录、支付、短信、商城、CRM、ERP、AI 大模型、IoT 物联网等功能。你的 ⭐️ Star ⭐️，是作者生发的动力！,https://github.com/YunaiV/ruoyi-vue-pro,2021-01-24T03:18:25Z,2025-12-17T18:54:58Z,https://doc.iocoder.cn/,184167,34646,7476,2,34646,Java,MIT,"['flowable', 'mybatis-plus', 'mysql', 'redis', 'redisson', 'spring-security', 'springboot', 'vue']",True,True,True,True,False,False,False,False,False,master
