Name,Description,URL,Created At,Updated At,Homepage,Size,Stars,Forks,Issues,Watchers,Language,License,Topics,Has Issues,Has Projects,Has Downloads,Has Wiki,Has Pages,Has Discussions,Is Fork,Is Archived,Is Template,Default Branch
public-apis,A collective list of free APIs,https://github.com/public-apis/public-apis,2016-03-20T23:49:42Z,2025-12-17T18:56:34Z,https://APILayer.com/?utm_source=Github&utm_medium=Referral&utm_campaign=Public-apis-repo,4955,385915,41195,757,385915,Python,MIT,"['api', 'apis', 'dataset', 'development', 'free', 'list', 'lists', 'open-source', 'public', 'public-api', 'public-apis', 'resources', 'software']",True,False,True,False,False,False,False,False,False,master
free-programming-books,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,2025-12-17T18:57:11Z,https://ebookfoundation.github.io/free-programming-books/,20865,378954,65634,201,378954,Python,CC-BY-4.0,"['books', 'education', 'hacktoberfest', 'list', 'resource']",True,False,True,False,True,False,False,False,False,main
system-design-primer,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,https://github.com/donnemartin/system-design-primer,2017-02-26T16:15:28Z,2025-12-17T18:56:12Z,,11243,329591,53661,516,329591,Python,,"['design', 'design-patterns', 'design-system', 'development', 'interview', 'interview-practice', 'interview-questions', 'programming', 'python', 'system', 'web', 'web-application', 'webapp']",True,True,True,True,False,False,False,False,False,master
awesome-python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",https://github.com/vinta/awesome-python,2014-06-27T21:00:06Z,2025-12-17T18:56:05Z,https://awesome-python.com/,6856,274189,26913,527,274189,Python,,"['awesome', 'collections', 'python', 'python-framework', 'python-library', 'python-resources']",False,False,True,False,True,False,False,False,False,master
Python,All Algorithms implemented in Python,https://github.com/TheAlgorithms/Python,2016-07-16T09:44:01Z,2025-12-17T18:57:37Z,https://thealgorithms.github.io/Python/,15638,214872,49629,801,214872,Python,MIT,"['algorithm', 'algorithm-competitions', 'algorithms-implemented', 'algos', 'community-driven', 'education', 'hacktoberfest', 'interview', 'learn', 'practice', 'python', 'searches', 'sorting-algorithms', 'sorts']",True,True,True,True,True,True,False,False,False,master
AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",https://github.com/Significant-Gravitas/AutoGPT,2023-03-16T09:21:07Z,2025-12-17T18:34:04Z,https://agpt.co,315242,180348,46185,321,180348,Python,,"['ai', 'artificial-intelligence', 'autonomous-agents', 'gpt-4', 'llama-api', 'openai', 'python']",True,False,True,True,False,False,False,False,False,master
stable-diffusion-webui,Stable Diffusion web UI,https://github.com/AUTOMATIC1111/stable-diffusion-webui,2022-08-22T14:05:26Z,2025-12-17T18:52:58Z,,36442,159037,29534,2445,159037,Python,AGPL-3.0,"['ai', 'ai-art', 'deep-learning', 'diffusion', 'gradio', 'image-generation', 'image2image', 'img2img', 'pytorch', 'stable-diffusion', 'text2image', 'torch', 'txt2img', 'unstable', 'upscaling', 'web']",True,True,True,True,False,True,False,False,False,master
transformers,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ",https://github.com/huggingface/transformers,2018-10-29T13:56:00Z,2025-12-17T18:51:17Z,https://huggingface.co/transformers,432702,153983,31470,2149,153983,Python,Apache-2.0,"['audio', 'deep-learning', 'deepseek', 'gemma', 'glm', 'hacktoberfest', 'llm', 'machine-learning', 'model-hub', 'natural-language-processing', 'nlp', 'pretrained-models', 'python', 'pytorch', 'pytorch-transformers', 'qwen', 'speech-recognition', 'transformer', 'vlm']",True,True,True,True,False,False,False,False,False,main
langflow,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.,https://github.com/langflow-ai/langflow,2023-02-08T22:28:03Z,2025-12-17T18:17:01Z,http://www.langflow.org,1019127,141375,8181,922,141375,Python,MIT,"['agents', 'chatgpt', 'generative-ai', 'large-language-models', 'multiagent', 'react-flow']",True,True,True,True,True,True,False,False,False,main
youtube-dl,Command-line program to download videos from YouTube.com and other video sites,https://github.com/ytdl-org/youtube-dl,2010-10-31T14:35:07Z,2025-12-17T18:27:51Z,http://ytdl-org.github.io/youtube-dl/,65509,139191,10571,4120,139191,Python,Unlicense,[],True,True,True,False,True,False,False,False,False,master
