Name,Description,URL,Created At,Updated At,Homepage,Size,Stars,Forks,Issues,Watchers,Language,License,Topics,Has Issues,Has Projects,Has Downloads,Has Wiki,Has Pages,Has Discussions,Is Fork,Is Archived,Is Template,Default Branch
tensorflow,An Open Source Machine Learning Framework for Everyone,https://github.com/tensorflow/tensorflow,2015-11-07T01:19:20+00:00,2025-12-19T14:06:40+00:00,https://tensorflow.org,1238324,192864,75156,2402,192864,C++,apache-2.0,"deep-learning,deep-neural-networks,distributed,machine-learning,ml,neural-network,python,tensorflow",True,True,True,False,False,False,False,False,False,master
react-native,A framework for building native applications using React,https://github.com/facebook/react-native,2015-01-09T18:10:16+00:00,2025-12-19T14:28:52+00:00,https://reactnative.dev,956559,124832,25021,1112,124832,C++,mit,"android,app-framework,cross-platform,ios,mobile,mobile-development,react,react-native",True,True,True,True,True,False,False,False,False,main
electron,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS",https://github.com/electron/electron,2013-04-12T01:47:36+00:00,2025-12-19T12:23:45+00:00,https://electronjs.org,185717,119447,16821,895,119447,C++,mit,"c-plus-plus,chrome,css,electron,html,javascript,nodejs,v8,works-with-codespaces",True,True,True,False,False,False,False,False,False,main
godot,Godot Engine – Multi-platform 2D and 3D game engine,https://github.com/godotengine/godot,2014-01-04T16:05:36+00:00,2025-12-19T13:16:24+00:00,https://godotengine.org,1719139,104230,23855,16948,104230,C++,mit,"game-development,game-engine,gamedev,godot,godotengine,multi-platform,open-source",True,True,True,False,False,False,False,False,False,master
terminal,"The new Windows Terminal and the original Windows console host, all in the same place!",https://github.com/microsoft/terminal,2017-08-11T18:38:22+00:00,2025-12-19T14:11:51+00:00,,159352,101121,8975,1679,101121,C++,mit,"cmd,command-line,console,contributions-welcome,good-first-issue,hacktoberfest,terminal,windows,windows-console,windows-terminal,wsl",True,True,True,True,False,True,False,False,False,main
llama.cpp,LLM inference in C/C++,https://github.com/ggml-org/llama.cpp,2023-03-10T18:58:00+00:00,2025-12-19T14:35:45+00:00,,255251,91564,14152,973,91564,C++,mit,ggml,True,True,True,True,False,True,False,False,False,master
bitcoin,Bitcoin Core integration/staging tree,https://github.com/bitcoin/bitcoin,2010-12-19T15:16:43+00:00,2025-12-19T14:24:54+00:00,https://bitcoincore.org/en/download,300582,87285,38374,726,87285,C++,mit,"bitcoin,c-plus-plus,cryptocurrency,cryptography,p2p",True,True,False,False,False,False,False,False,False,master
opencv,Open Source Computer Vision Library,https://github.com/opencv/opencv,2012-07-19T09:40:17+00:00,2025-12-19T14:28:06+00:00,https://opencv.org,552288,85360,56410,2701,85360,C++,apache-2.0,"c-plus-plus,computer-vision,deep-learning,image-processing,opencv",True,True,True,True,False,True,False,False,False,4.x
gpt4all,GPT4All: Run Local LLMs on Any Device. Open-source and available for commercial use.,https://github.com/nomic-ai/gpt4all,2023-03-27T18:49:32+00:00,2025-12-19T11:10:43+00:00,https://nomic.ai/gpt4all,44678,76969,8300,745,76969,C++,mit,"ai-chat,llm-inference",True,True,True,True,False,True,False,False,False,main
tesseract,Tesseract Open Source OCR Engine (main repository),https://github.com/tesseract-ocr/tesseract,2014-08-12T18:04:59+00:00,2025-12-19T14:21:57+00:00,https://tesseract-ocr.github.io/,53701,71478,10427,465,71478,C++,apache-2.0,"hacktoberfest,lstm,machine-learning,ocr,ocr-engine,tesseract,tesseract-ocr",True,True,True,True,False,False,False,False,False,main
imgui,Dear ImGui: Bloat-free Graphical User interface for C++ with minimal dependencies,https://github.com/ocornut/imgui,2014-07-21T14:29:47+00:00,2025-12-19T14:25:01+00:00,,117983,70127,11410,1203,70127,C++,mit,"api,cplusplus,framework,game-development,game-engine,gamedev,gui,imgui,immediate-gui,library,multi-platform,native,toolkit,tools,ui",True,False,True,True,False,True,False,False,False,master
protobuf,Protocol Buffers - Google's data interchange format,https://github.com/protocolbuffers/protobuf,2014-08-26T15:52:15+00:00,2025-12-19T09:19:13+00:00,http://protobuf.dev,206624,69900,15967,253,69900,C++,other,"marshalling,protobuf,protobuf-runtime,protoc,protocol-buffers,protocol-compiler,rpc,serialization",True,True,True,True,True,False,False,False,False,main
swift,The Swift Programming Language,https://github.com/swiftlang/swift,2015-10-23T21:15:07+00:00,2025-12-19T14:28:40+00:00,https://swift.org,1298124,69461,10623,8539,69461,C++,apache-2.0,,True,False,True,False,False,False,False,False,False,main
ladybird,Truly independent web browser,https://github.com/LadybirdBrowser/ladybird,2024-05-30T09:18:10+00:00,2025-12-19T14:14:37+00:00,https://ladybird.org,403202,56781,2559,651,56781,C++,bsd-2-clause,"browser,browser-engine",True,False,True,False,False,False,False,False,False,master
ImHex,"🔍 A Hex Editor for Reverse Engineers, Programmers and people who value their retinas when working at 3 AM.",https://github.com/WerWolv/ImHex,2020-11-10T14:27:00+00:00,2025-12-19T14:21:53+00:00,https://imhex.werwolv.net,50055,52041,2311,307,52041,C++,gpl-2.0,"analyzer,binary-analysis,c-plus-plus,cpp,cybersecurity,dark-mode,dcode-2025,dear-imgui,disassembler,forensics,hacking,hacktoberfest,hex-editor,ips,mathematical-evaluator,multi-platform,pattern-language,reverse-engineering,static-analysis,windows",True,True,True,False,True,True,False,False,False,master
json,JSON for Modern C++,https://github.com/nlohmann/json,2013-07-04T08:47:49+00:00,2025-12-19T14:36:26+00:00,https://json.nlohmann.me,236102,48232,7264,99,48232,C++,mit,"bson,cbor,header-only,json,json-diff,json-merge-patch,json-parser,json-patch,json-pointer,json-serialization,messagepack,msgpack,rfc-6901,rfc-6902,rfc-7049,rfc-7159,rfc-8259,stl-containers,ubjson",True,True,True,False,True,True,False,False,False,develop
x64dbg,An open-source user mode debugger for Windows. Optimized for reverse engineering and malware analysis.,https://github.com/x64dbg/x64dbg,2015-04-11T20:48:23+00:00,2025-12-19T13:14:10+00:00,http://x64dbg.com,62695,47361,2641,610,47361,C++,other,"binary-analysis,ctf,cybersecurity,debugger,debugging,disassembler,dynamic-analysis,exploit-development,hacking,malware-analysis,offensive-security,oscp,program-analysis,reverse-engineering,security,security-tools,windows,x64,x86,x86-64",True,True,True,True,False,True,False,False,False,development
whisper.cpp,Port of OpenAI's Whisper model in C/C++,https://github.com/ggml-org/whisper.cpp,2022-09-25T18:26:37+00:00,2025-12-19T14:37:10+00:00,,30073,45182,5025,1077,45182,C++,mit,"inference,openai,speech-recognition,speech-to-text,transformer,whisper",True,True,True,True,True,True,False,False,False,master
ClickHouse,ClickHouse® is a real-time analytics database management system,https://github.com/ClickHouse/ClickHouse,2016-06-02T08:28:18+00:00,2025-12-19T14:36:10+00:00,https://clickhouse.com,3046822,44747,7916,5508,44747,C++,apache-2.0,"ai,analytics,big-data,clickhouse,cloud-native,cpp,database,dbms,distributed,embedded,hacktoberfest,lakehouse,mpp,olap,rust,self-hosted,sql",True,True,True,True,False,True,False,False,False,master
