Name,Description,URL,Created At,Updated At,Homepage,Size,Stars,Forks,Issues,Watchers,Language,License,Topics,Has Issues,Has Projects,Has Downloads,Has Wiki,Has Pages,Has Discussions,Is Fork,Is Archived,Is Template,Default Branch
community.general,Ansible Community General Collection,https://github.com/ansible-collections/community.general,2020-02-03T20:01:27+00:00,2025-12-19T03:49:14+00:00,https://galaxy.ansible.com/ui/repo/published/community/general/,41069,1000,1737,799,1000,Python,gpl-3.0,"ansible-collection,hacktoberfest",True,True,True,False,False,False,False,False,False,main
haier,海尔智能家居设备接入HomeAssistant,https://github.com/banto6/haier,2023-06-04T12:31:04+00:00,2025-12-18T16:27:23+00:00,,156,1000,161,14,1000,Python,apache-2.0,"hacs,haier,home-assistant",True,True,True,True,False,True,False,False,False,master
geoparquet,"Specification for storing geospatial vector data (point, line, polygon) in Parquet",https://github.com/opengeospatial/geoparquet,2021-07-30T18:06:15+00:00,2025-12-19T13:45:49+00:00,https://geoparquet.org,411,1000,63,45,1000,Python,apache-2.0,"apache-parquet,cloud-native,geoparquet,geospatial,gis",True,True,True,True,False,True,False,False,False,main
DDParser,百度开源的依存句法分析系统,https://github.com/baidu/DDParser,2020-08-03T04:45:58+00:00,2025-12-05T19:15:33+00:00,,363,1000,159,15,1000,Python,apache-2.0,"chinese-dependency-parser,chinese-nlp,dependency-parser,dependency-parsing,python,syntax-parser",True,True,True,True,False,False,False,False,False,master
sematic,An open-source ML pipeline development platform,https://github.com/sematic-ai/sematic,2022-04-19T22:16:33+00:00,2025-12-19T04:44:49+00:00,,21208,1000,60,131,1000,Python,apache-2.0,"ai,data-science,machine-learning,ml,ml-ops,ml-pipeline,ml-pipelines,mlops,pipeline,python,python3",True,False,True,True,False,False,False,False,False,main
pymc-marketing,"Bayesian marketing toolbox in PyMC. Media Mix (MMM), customer lifetime value (CLV), buy-till-you-die (BTYD) models and more.",https://github.com/pymc-labs/pymc-marketing,2022-03-07T15:11:28+00:00,2025-12-17T09:14:26+00:00,https://www.pymc-marketing.io/,1643362,1000,351,393,1000,Python,apache-2.0,"btyd,buy-till-you-die,clv,customer-lifetime-value,data-science,marketing,marketing-mix-modeling,media-mix-modeling,mmm,python",True,True,True,True,False,True,False,False,False,main
Efficient-Segmentation-Networks,"Lightweight models for real-time semantic segmentationon PyTorch (include SQNet, LinkNet, SegNet, UNet, ENet, ERFNet, EDANet, ESPNet, ESPNetv2, LEDNet, ESNet, FSSNet, CGNet, DABNet, Fast-SCNN, ContextNet, FPENet, etc.)",https://github.com/xiaoyufenfei/Efficient-Segmentation-Networks,2019-10-07T03:16:07+00:00,2025-12-10T06:28:50+00:00,,1174,1000,165,21,1000,Python,mit,"camvid,cityscapes,computer-vision,driving-scene-understanding,efficient-segmentation-networks,image-segmentation,lightweight-semantic-segmentation,neural-networks,pytorch,real-time-semantic-segmentation,scene-understanding,segmentation,semantic-segmentation,semantic-segmentation-models",True,True,True,True,False,False,False,False,False,master
BGmi,[looking for maintainers] BGmi is a cli tool with Web UI for subscribed bangumi.,https://github.com/BGmi/BGmi,2017-09-13T04:49:14+00:00,2025-12-15T17:43:53+00:00,,15642,1000,30,13,1000,Python,mit,"anime,bangumi,feed,python,python3",True,False,True,False,False,False,False,False,False,master
voltaML-fast-stable-diffusion,Beautiful and Easy to use Stable Diffusion WebUI,https://github.com/VoltaML/voltaML-fast-stable-diffusion,2022-11-14T03:19:52+00:00,2025-12-15T06:58:30+00:00,https://voltaml.github.io/voltaML-fast-stable-diffusion/,70815,1000,80,4,1000,Python,gpl-3.0,"ai-art,aitemplate,generative-art,linux,naive-ui,python,pytorch,rust,stable-diffusion,text2image,typescript,vue,webui,windows",True,True,True,True,True,True,False,False,False,main
iLEAPP,"iOS Logs, Events, And Plist Parser",https://github.com/abrignoni/iLEAPP,2019-12-24T00:28:42+00:00,2025-12-19T07:14:29+00:00,,164883,999,227,126,999,Python,mit,,True,True,True,True,False,True,False,False,False,main
